"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"2436","Cook County, Minnesota",34.4047619048,3360,7,93,32.9,13,78.4,23695.473015,3.2,2.3,NA,22.8,0.351,NA,0.261,0.091,134.2,NA,0.133,0.059,176.46,NA,NA,NA,697.907333333,"Clinton"
"2437","Carter County, Missouri",81.7382125264,2842,24.3,75.7,11.1,5.1,76.8,18893.44984,NA,NA,0.11,59,0.364,NA,0.328,0.121,157.1,NA,0.223,0.08,113.9,NA,127.2,NA,1207.77,"Trump"
"2438","Cedar County, Missouri",79.945842625,6278,16.9,83.1,11.9,3.8,76.85,19255.83397,NA,NA,0.05,48.3,0.298,NA,0.313,0.11,229.4,50.5,0.203,0.069,252.05,NA,102.2,NA,1163.40466667,"Trump"
"2439","DeKalb County, Missouri",77.1241830065,4590,17.4,82.6,12,3.4,74.15,25604.36381,2.9,3.4,0.07,36.3,0.177,0.205,0.354,0.098,164.5,396.8,0.158,0.062,117.55,NA,54.4,NA,975.106,"Trump"
"2440","Pemiscot County, Missouri",65.7925311203,6025,29.9,70.1,9.8,4.2,73.6,22455.18476,5,4.6,0.14,97.3,0.551,0.331,0.354,0.115,665.8,170.3,0.155,0.081,727.09,10.65,125.9,10.4,1310.132,"Trump"
"2441","Pike County, Missouri",71.5118644068,7375,20.5,79.5,12.6,3.3,67.6,23097.899365,3.9,4.8,0.09,44.9,0.333,0.274,0.331,0.11,242.3,70.4,0.177,0.067,223.05,NA,68.8,NA,982.98,"Trump"
"2442","Ray County, Missouri",65.5560682972,10835,13.9,86.1,13.5,5.8,72.8,31647.90635,4.9,5.9,0.08,40.9,0.256,0.27,0.313,0.104,245.4,39.7,0.146,0.09,186.59,NA,85.3,NA,1068.832,"Trump"
"2443","Ripley County, Missouri",81.9137368612,5518,29.4,70.6,12.2,4.1,67.6,17637.91143,6.8,5.9,0.11,70.3,0.371,0.471,0.338,0.117,169.7,NA,0.204,0.081,191.69,NA,105.3,16.4,1261.11,"Trump"
"2444","Scotland County, Missouri",77.4898373984,1968,18.5,81.5,17.8,4.1,60.6,22922.44349,4.5,3.8,0.06,16.3,0.154,0.135,0.355,0.11,NA,NA,0.218,0.047,145,NA,86.9,NA,909.574,"Trump"
"2445","Warren County, Missouri",70.4617531397,15766,17,83,16.9,6.5,72.25,27800.80476,3.9,3.3,0.07,47.9,0.289,0.248,0.314,0.103,206.1,25.1,0.148,0.077,289.68,5.11,89.8,NA,1094.74,"Trump"
