"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"655","Montgomery County, Texas",73.9539991038,203083,14.1,85.9,29.7,8.8,77,32735.04349,3.8,3.8,0.08,41.2,0.252,0.134,0.289,0.089,191.4,96.6,0.219,0.06,260.31,3.63,62.2,6.3,1236.98,"Trump"
"656","Sabine County, Texas",85.9974149074,4642,22.5,77.5,12.2,3.7,75.2,25508.204125,5.5,NA,0.07,66.1,0.382,NA,0.32,0.134,260.7,102,0.241,0.153,207.87,NA,125.8,NA,1407.414,"Trump"
"657","Shelby County, Texas",79.0454144621,9072,24.6,75.4,13.5,3.6,73.65,22249.055555,2.7,3.9,0.1,80.2,0.419,0.204,0.336,0.118,302.7,163.7,0.303,0.065,336.61,9.01,114.1,7.5,1361.567,"Trump"
"658","Terrell County, Texas",65.6750572082,437,19.6,80.4,20.7,3.6,88,24039.67238,NA,NA,NA,NA,0.215,NA,0.283,0.102,416.7,NA,0.295,0.063,310.34,NA,NA,NA,410.040666667,"Trump"
"659","Tom Green County, Texas",71.8454755406,38104,18.8,81.2,21.6,6,69.95,22356.23111,4.1,3.3,0.08,57,0.366,0.24,0.283,0.099,615.3,92.2,0.254,0.053,299.84,3.74,57.3,7,562.356,"Trump"
"660","Tyler County, Texas",82.833479734,7969,17.1,82.9,12.2,4.7,66.15,24400.801585,5.4,NA,0.08,70.6,0.408,0.202,0.298,0.115,189.2,137.1,0.245,0.1,394.18,NA,98.7,NA,1439.926,"Trump"
"661","Val Verde County, Texas",43.4550311665,13476,36,64,15.8,4.4,71.15,19635.56984,3.6,3.6,0.07,81.6,0.341,0.121,0.277,0.098,344.2,32.8,0.292,0.076,191.52,3.59,41.6,4.8,461.602666667,"Clinton"
"662","Piute County, Utah",87.0340356564,617,11.3,88.7,16.2,5.4,86.5,19010.116825,4,5.5,NA,27.2,0.18,NA,0.242,0.098,NA,NA,0.229,0.06,NA,NA,NA,NA,293.285333333,"Trump"
"663","Uintah County, Utah",76.6591632384,12883,15.5,84.5,14.7,4.9,71.35,29549.635875,3.7,3.4,0.08,56.5,0.211,0.183,0.298,0.081,150.8,21,0.207,0.039,184.19,NA,87,5.2,228.708857143,"Trump"
"664","Charlotte County, Virginia",60.0656077348,5792,28.4,71.6,15.1,4.7,79.85,23285.93016,4.7,NA,0.12,39.8,0.46,0.261,0.317,0.128,567.8,94.6,0.197,0.085,167.59,NA,90.1,NA,1058.545,"Trump"
"665","Craig County, Virginia",76.8318965517,2784,16.6,83.4,13.6,5.2,74.6,27748.2273,4.6,NA,0.07,31.4,0.218,NA,0.3,0.101,98.1,NA,0.156,0.068,57.89,NA,85.1,NA,1008.888,"Trump"
"666","Louisa County, Virginia",60.0159936026,17507,19.4,80.6,17.9,6,70.45,31250.913335,3.5,2.6,0.09,37.1,0.302,0.277,0.34,0.112,203.6,119.6,0.166,0.064,112.52,NA,72.6,NA,1122.172,"Trump"
"667","Harrisonburg city, Virginia",35.222969536,17693,22.5,77.5,33.3,14,85.5,9063.78,2.4,NA,0.07,12.9,0.327,NA,0.31,0.073,330.2,126.7,0.226,0.068,228.66,NA,31.7,9,926.592,"Clinton"
"668","Addison County, Vermont",30.1102773988,17592,10.2,89.8,32.6,13.8,79.9,26488.13365,2.9,3.2,0.06,10.9,0.316,0.145,0.229,0.072,163.3,62.2,0.085,0.046,83.39,NA,63,NA,1125.982,"Clinton"
"669","Ferry County, Washington",61.1797752809,3560,11.4,88.6,16.7,5.7,72.8,21410.76603,4.5,3.1,0.06,35.7,0.423,0.242,0.275,0.091,390.2,NA,0.207,0.13,88.4,NA,143.9,NA,430.276,"Trump"
"670","Pend Oreille County, Washington",64.2899233942,6788,12.3,87.7,17.9,6.1,73.4,23182.72476,4.7,3,0.07,45.8,0.44,0.208,0.296,0.096,116,NA,0.17,0.116,96.76,NA,86.8,NA,714.248,"Trump"
"671","Fond du Lac County, Wisconsin",60.7586017928,51094,11.5,88.5,18,5.8,76.8,28236.540315,2.9,2.8,0.07,24.7,0.248,0.184,0.31,0.087,283.1,34.4,0.095,0.066,172.74,NA,64,5.5,762.635,"Trump"
"672","Jefferson County, Wisconsin",55.3090445138,42324,10.9,89.1,22.7,7.3,79,27253.76381,3.1,3.2,0.06,17.8,0.25,0.159,0.327,0.086,193,19.1,0.095,0.073,193.25,NA,57.3,5.5,905.328571429,"Trump"
"673","Hancock County, Mississippi",78.3239139122,17517,16.8,83.2,21.7,7.6,74.75,27278.18127,4.7,4.8,0.08,51.2,0.272,0.228,0.333,0.122,311.3,164.7,0.233,0.086,NA,5.22,104.3,NA,1606.4484,"Trump"
"674","Tishomingo County, Mississippi",85.6438026474,8310,24.3,75.7,10.7,3.6,73.35,22090.684445,4.8,5.1,0.1,54.7,0.293,0.202,0.297,0.121,214.3,NA,0.229,0.106,NA,NA,114.7,NA,1528.318,"Trump"
"675","Beaverhead County, Montana",69.0881976992,4694,8.2,91.8,30.4,9.5,79.6,17191.05365,3.7,3,0.08,16.4,0.198,0.11,0.246,0.082,108.7,NA,0.251,0.052,185.85,NA,111.7,NA,NA,"Trump"
"676","Fallon County, Montana",86.4498644986,1476,11.9,88.1,15.7,3.8,70.5,25972.42476,2.8,NA,0.11,43.8,0.234,0.148,0.245,0.079,NA,NA,0.187,0.019,129.24,NA,142.2,NA,369.57,"Trump"
"677","Meagher County, Montana",74.8971193416,972,17.7,82.3,15.8,2.7,77.05,17590.789205,2.9,NA,0.14,NA,0.354,0.177,0.256,0.088,NA,NA,0.276,0.061,159.04,NA,NA,NA,410.464,"Trump"
"678","Chowan County, North Carolina",56.0354530107,7108,22.6,77.4,15.7,4.6,75,22599.47016,4,3.8,0.12,55.2,0.465,0.299,0.3,0.14,471.3,197,0.191,0.104,276.95,NA,74,NA,1221.994,"Trump"
"679","Currituck County, North Carolina",73.0097399984,12423,15.3,84.7,17.2,5.1,77.85,29672.72254,3.9,NA,0.07,33.5,0.265,0.264,0.292,0.113,275.5,114.6,0.177,0.069,207.24,NA,78.2,12.4,NA,"Trump"
"680","Pamlico County, North Carolina",62.3892498523,6772,17.3,82.7,17.5,6.9,72.8,24435.821585,2.1,NA,0.09,52,0.292,NA,0.302,0.134,287.9,204.7,0.187,0.097,205.5,NA,113.2,NA,1393.952,"Trump"
"681","Sherman County, Nebraska",73.599484868,1553,12.3,87.7,15.7,4,74.95,23116.852065,2.4,1.9,NA,21,0.16,0.175,0.336,0.09,129.3,NA,0.162,0.032,32.25,NA,NA,NA,677.502666667,"Trump"
"682","Cheshire County, New Hampshire",41.0408560311,41120,10.2,89.8,29.8,10.5,83.55,26981.485395,3.6,3.5,0.06,15.7,0.262,0.172,0.259,0.091,273,65.5,0.135,0.053,175.59,NA,62.5,5.2,1163.79171429,"Clinton"
"683","Richmond County, New York",57.1811325945,167209,12.5,87.5,28.5,11.3,81.35,41714.906665,3.3,3.9,0.08,19,0.266,0.182,0.276,0.1,343.1,488.8,0.097,0.085,588.03,4.36,38.9,4.4,1184.402,"Trump"
"684","Hardin County, Ohio",71.0920592642,12014,13.8,86.2,15.1,6.4,82.05,22318.796825,3.9,4.7,0.08,31.9,0.29,0.305,0.316,0.103,228,27.7,0.153,0.075,47.83,NA,74.1,NA,925.322,"Trump"
"685","Meigs County, Ohio",72.9968119022,9410,17.8,82.2,10.3,4.1,72,23537.33619,4.4,NA,0.09,46.2,0.309,0.397,0.332,0.13,202.7,34.8,0.16,0.118,80.5,NA,74.4,NA,1029.208,"Trump"
"686","Wayne County, Ohio",65.1328527291,48550,15.3,84.7,19.1,6.3,71.8,26718.618095,2.7,3.4,0.07,24.7,0.215,0.172,0.305,0.099,217.3,47.1,0.159,0.061,99.87,1.88,54,6,983.064666667,"Trump"
"687","Grady County, Oklahoma",77.6969043447,22257,14.7,85.3,16.8,4.5,76.15,26466.20381,4,4.3,0.09,47,0.289,0.273,0.37,0.101,190.5,82,0.204,0.05,337.24,3.1,81.1,7.5,NA,"Trump"
"688","Marshall County, Oklahoma",76.5810096592,5487,20.4,79.6,15.9,4.8,77.45,21354.596825,4.8,4.3,0.07,76.8,0.312,0.197,0.339,0.134,299.1,62,0.283,0.057,282.55,NA,76.3,NA,1051.814,"Trump"
"689","Coos County, Oregon",58.6428547762,30181,14.2,85.8,18.3,6,72.2,21811.92857,4.2,3.2,0.07,38.7,0.367,0.261,0.289,0.096,280.3,61.5,0.179,0.107,218.42,2.7,91.6,4.5,NA,"Trump"
"690","Adams County, Pennsylvania",66.2925877212,47138,15.3,84.7,18.5,7.3,79.3,28378.73619,4.2,3.2,0.07,26.5,0.278,0.21,0.283,0.115,175.5,72.3,0.125,0.066,150.51,1.71,56.5,8.6,1113.4852,"Trump"
"691","Luzerne County, Pennsylvania",58.3947985022,132731,13,87,20.2,7.3,77.45,26799.596825,4.2,4.1,0.08,30.3,0.379,0.246,0.298,0.107,234.2,113,0.125,0.097,288.51,3.77,67.2,7.7,1185.926,"Trump"
"692","Pike County, Alabama",58.9712092131,13025,20.6,79.4,23.7,9.3,81.95,18791.54635,4.7,3.8,0.09,32.4,0.46,0.183,0.36,0.146,1029.9,338.4,0.203,0.07,410.17,6.76,73.4,10,NA,"Trump"
"693","Bullock County, Alabama",24.2288874708,4701,25.3,74.7,12,3.7,69.55,20651.69397,4.2,NA,0.14,85.1,0.654,0.378,0.421,0.175,1403.9,409.1,0.157,0.134,333.96,NA,102.5,NA,1361.313,"Clinton"
"694","Tuscaloosa County, Alabama",58.3798404073,81708,15.3,84.7,26.2,10.5,76.7,23901.16508,4.3,4.1,0.12,30.6,0.372,0.217,0.332,0.105,707.4,217.1,0.149,0.066,432.4,9.54,73,11.9,1370.076,"Trump"
"695","Lowndes County, Alabama",26.2282804074,6676,26.6,73.4,12.7,3.7,72.35,21425.473335,4.8,4.2,0.14,63.4,0.574,0.226,0.438,0.193,1022.7,536.2,0.174,0.141,510.46,22.7,93.7,NA,1318.514,"Clinton"
"696","Desha County, Arkansas",45.0376293509,4252,27.5,72.5,13.6,3.7,75.95,21728.943175,4.8,4.2,0.16,88.6,0.479,0.239,0.369,0.137,1049.9,120.2,0.203,0.105,883.71,19.99,82.4,NA,1323.34,"Clinton"
"697","Conway County, Arkansas",61.1538947103,7921,17.3,82.7,13.8,4.6,72.3,23325.038095,4.9,6.2,0.07,66.4,0.312,0.277,0.357,0.129,362,80.3,0.194,0.076,265.75,8.19,107.3,NA,1295.31533333,"Trump"
"698","Saline County, Arkansas",68.1882156035,52578,12.4,87.6,22.6,7,77,28959.83143,4,4.2,0.08,38.3,0.287,0.23,0.315,0.114,189,46.2,0.161,0.06,245.53,4.31,61.7,7.4,NA,"Trump"
"699","Chicot County, Arkansas",41.091954023,4176,30.7,69.3,12.6,4.8,71.9,18959.644125,7.2,3.9,0.13,75.2,0.544,0.362,0.368,0.152,895.8,252.1,0.217,0.104,653.54,19.74,107.4,NA,1419.987,"Clinton"
"700","Glenn County, California",61.7123360699,9379,26.1,73.9,16.2,4.3,73.2,22314.146665,NA,3.1,0.05,49,0.369,0.15,0.268,0.078,256,54.8,0.236,0.147,226.1,NA,78,NA,598.2335,"Trump"
"701","Shasta County, California",65.5883893376,72554,11.9,88.1,20,6.4,76.6,26552.58508,4.1,4.1,0.06,36.3,0.35,0.251,0.28,0.09,322.9,80.3,0.181,0.134,750.69,4.13,93.5,6,1186.58216667,"Trump"
"702","New Haven County, Connecticut",42.1306752432,375909,12.3,87.7,31.7,14.3,80.35,35516.47365,3.3,3.5,0.08,24.8,0.354,0.16,0.274,0.096,478.8,452.1,0.099,0.092,416.79,3.95,55.6,7.1,1251.5215,"Clinton"
"703","Bartow County, Georgia",76.0996357894,39263,21.7,78.3,16.5,5.9,73.95,29352.26127,4.1,4.6,0.08,58.7,0.312,0.213,0.294,0.114,250.9,189.5,0.235,0.092,322.27,3.61,70.2,6.3,1245.5652,"Trump"
"704","Bibb County, Georgia",38.7282047765,58327,18.8,81.2,23.1,8,78.25,24957.74222,3.1,3.6,0.14,62.8,0.521,0.167,0.303,0.121,1052.8,718.2,0.197,0.098,566.33,15.43,75.7,13.9,1160.272,"Clinton"
"705","Cobb County, Georgia",46.749626253,326424,9.8,90.2,43.8,14.6,79.35,35440.608255,2.7,2.8,0.08,31.1,0.29,0.141,0.234,0.088,443.1,301,0.204,0.081,271.9,4.58,46.8,6.3,1399.794,"Clinton"
"706","Grady County, Georgia",65.8212691847,9187,25.9,74.1,10.1,3.7,74.1,24718.375555,4.9,2.8,0.1,82,0.421,0.264,0.323,0.124,419.7,364,0.275,0.076,194.65,NA,71.2,9.7,1266.444,"Trump"
"707","Troup County, Georgia",60.648237894,25793,20.7,79.3,19.4,6.9,75.8,24154.25492,3.9,3.9,0.11,69.3,0.455,0.149,0.309,0.137,641.9,162.9,0.212,0.101,340.79,4.41,61,8.4,1328.166,"Trump"
"708","Ware County, Georgia",70.024691358,12150,20.4,79.6,12.2,6.2,72.1,23820.659685,4.5,3.5,0.11,89.4,0.374,0.218,0.341,0.148,649.8,432.4,0.225,0.111,360.06,6.4,71.1,10.6,NA,"Trump"
"709","Greene County, Iowa",59.1978160437,4762,11.6,88.4,17.5,3.8,76.85,24936.035875,NA,3,0.08,34.7,0.235,0.229,0.295,0.09,258.5,NA,0.102,0.052,63.93,NA,74.1,NA,866.14,"Trump"
"710","Harrison County, Iowa",66.3052317701,7378,9.6,90.4,15.5,3,78.1,28828.411745,3.5,2.2,0.07,23,0.2,0.223,0.316,0.091,188.8,NA,0.098,0.046,90.94,NA,69,NA,851.662,"Trump"
"711","Kossuth County, Iowa",66.278659612,8505,10,90,16.7,4.5,80.55,27449.914605,1.8,2.6,0.06,18.1,0.17,0.155,0.311,0.104,103.9,NA,0.098,0.037,131.37,NA,62.2,NA,817.626,"Trump"
"712","Linn County, Iowa",42.0210353729,114664,6.8,93.2,29.6,8.3,80.05,30823.68476,2.8,3,0.07,27.5,0.283,0.161,0.279,0.087,507.8,64.9,0.086,0.053,226.15,1.74,47.2,5.6,926.846,"Clinton"
"713","O'Brien County, Iowa",78.0484485574,7348,11.2,88.8,19.3,4.1,80.4,25625.105715,1.7,1.7,0.06,36.5,0.206,NA,0.305,0.096,154.8,NA,0.113,0.041,103.08,NA,49.9,NA,769.450666667,"Trump"
"714","Warren County, Iowa",54.8855699212,26916,5.4,94.6,26.7,7.4,80.95,32165.87619,3.3,2.6,0.07,20.3,0.256,0.139,0.31,0.078,164.8,23.8,0.077,0.051,155.59,NA,51.6,NA,921.258,"Trump"
"715","Wayne County, Iowa",70.8319068812,2921,15.6,84.4,10.8,2.5,71.35,22831.21397,2,NA,0.09,42.6,0.286,0.198,0.314,0.097,142.7,NA,0.141,0.049,47.28,NA,93.7,NA,1039.114,"Trump"
"716","Clark County, Idaho",71.7314487633,283,31.1,68.9,5.3,1.1,74.95,24248.019365,NA,NA,NA,48.5,0.187,NA,0.29,0.094,NA,NA,0.314,0.066,209.06,NA,NA,NA,306.832,"Trump"
"717","Gem County, Idaho",75.2012072435,7952,16.5,83.5,12.6,3.3,76.5,25165.373335,5,4.5,0.07,43.5,0.261,0.195,0.298,0.099,162,NA,0.23,0.091,197.14,NA,88.2,NA,453.644,"Trump"
"718","Kootenai County, Idaho",67.0563919983,66286,8.6,91.4,23.2,6.6,73.75,24769.07651,3.6,3.4,0.06,30.2,0.272,0.199,0.241,0.085,323.8,42.1,0.187,0.084,314.85,2.28,63.5,5.1,637.667,"Trump"
"719","Christian County, Illinois",68.7263226649,15310,14.2,85.8,12.1,3.6,75.2,25106.91905,3.7,NA,0.1,44.4,0.35,0.221,0.322,0.106,226.6,173,0.121,0.092,NA,NA,59.5,7,1008.80333333,"Trump"
"720","Iroquois County, Illinois",75.2766385514,12923,12.8,87.2,13.7,4.3,76.1,27223.65905,3.8,2.5,0.06,34.5,0.264,0.243,0.324,0.103,132.3,39.6,0.125,0.083,67.4,5.68,70.5,NA,975.868,"Trump"
"721","Kendall County, Illinois",47.5292728525,50815,8,92,32.3,10.2,81.7,39739.65905,3.1,2.5,0.07,20.7,0.188,0.163,0.281,0.066,157.8,32.6,0.094,0.078,138.37,2.64,33.6,6.5,978.281,"Clinton"
"722","Ogle County, Illinois",60.2739726027,23798,12.6,87.4,17.8,6.2,80.75,28475.039365,3.2,2.7,0.07,31.3,0.239,0.159,0.276,0.098,220.3,41.9,0.12,0.108,66.08,NA,59.3,4.8,975.106,"Trump"
"723","Will County, Illinois",44.5778495584,291010,10,90,30.7,10.6,80.9,36428.708255,3.2,3.2,0.08,24.7,0.213,0.177,0.33,0.096,322.2,103.9,0.106,0.09,169.4,3.59,36.9,6.7,998.685666667,"Clinton"
"724","Greene County, Indiana",74.656688222,13763,16.8,83.2,11.1,4.6,77.55,25870.395875,3.7,3.4,0.08,46.4,0.291,0.242,0.331,0.133,267.5,41.5,0.172,0.093,33.53,NA,78.6,7.9,1162.812,"Trump"
"725","Miami County, Indiana",74.21875,13440,18.1,81.9,10.2,3.7,76.85,22937.29746,4.2,4,0.08,45.8,0.308,0.311,0.33,0.114,125.6,69.6,0.176,0.103,118.5,NA,64.8,8.1,1042.416,"Trump"
"726","St. Joseph County, Indiana",47.5267697255,109452,13.6,86.4,25.6,9.7,81,25850.424125,3.5,3.4,0.08,40.4,0.356,0.208,0.287,0.095,414.7,197.1,0.181,0.097,393.22,5.59,52.8,8.5,1010.412,"Clinton"
"727","Crawford County, Kansas",58.2754790336,14404,11.8,88.2,26.3,9,80.25,21266.471745,3.5,3.2,0.08,39.7,0.308,0.209,0.357,0.1,326.4,72.8,0.167,0.063,373.63,NA,77.5,8.6,1173.90333333,"Trump"
"728","Decatur County, Kansas",83.5616438356,1460,8.9,91.1,17.6,5.9,70.4,19165.11778,3.3,NA,NA,27.3,0.392,0.194,0.325,0.14,NA,NA,0.165,0.038,175.9,NA,139.2,NA,554.143333333,"Trump"
"729","Ottawa County, Kansas",78.8904396371,2866,9.3,90.7,19.6,5.6,81,26342.31746,2,1.6,0.07,30.8,0.186,0.116,0.327,0.102,196.1,NA,0.137,0.051,224.69,NA,NA,NA,776.859,"Trump"
"730","Rawlins County, Kansas",83.4944751381,1448,8.3,91.7,19.8,4.2,79.9,20773.306665,2.4,NA,NA,NA,0.264,NA,0.352,0.118,NA,NA,0.172,0.03,53.23,NA,NA,NA,563.88,"Trump"
"731","Barren County, Kentucky",72.9481144836,18483,23,77,15,6.1,74.9,24506.150475,4.2,4,0.09,61.2,0.282,0.264,0.314,0.135,298.1,56.4,0.175,0.081,105.79,3.81,75.8,7.5,1370.838,"Trump"
"732","Marshall County, Mississippi",44.3937950742,14698,30.7,69.3,10.2,2.7,71,24219.819685,4.8,3.7,0.12,60.9,0.532,0.306,0.386,0.15,842.7,232.3,0.231,0.117,NA,8.57,88.6,9.6,NA,"Clinton"
"733","Ravalli County, Montana",66.3276376458,22122,9.3,90.7,25,7.1,75.7,20447.587935,3.7,3.1,0.06,29.5,0.257,0.193,0.209,0.067,190.4,NA,0.228,0.08,245.67,NA,90,7.1,NA,"Trump"
"734","Toole County, Montana",73.8636363636,2024,12.6,87.4,17.4,5,70.9,22641.683175,3.4,2.4,0.09,25.9,0.282,0.161,0.287,0.083,190.9,NA,0.22,0.043,423.46,NA,NA,NA,319.108666667,"Trump"
"735","Polk County, North Carolina",62.8368926606,10723,13.9,86.1,27.2,10.9,76.55,25181.43397,3.9,3.9,0.1,27.9,0.374,0.189,0.23,0.102,103.7,107.5,0.199,0.076,121.53,NA,94.6,NA,1471.168,"Trump"
"736","McIntosh County, North Dakota",76.9501054111,1423,28.9,71.1,16.1,5.2,69.25,21748.435555,2.6,3,NA,20.7,0.189,0.186,0.302,0.101,NA,NA,0.163,0.033,109.41,NA,NA,NA,513.842,"Trump"
"737","Arthur County, Nebraska",90.1140684411,263,7,93,17.9,4.6,78.65,20389.81524,2.3,2,NA,NA,0.125,NA,0.293,0.097,NA,NA,0.175,0.057,0,NA,NA,NA,492.252,"Trump"
"738","Grant County, Nebraska",93.1472081218,394,4.9,95.1,17.3,3.8,68.2,19819.761905,NA,2.1,NA,NA,0.303,NA,0.284,0.087,NA,NA,0.165,0.037,NA,NA,NA,NA,503.809,"Trump"
"739","Webster County, Nebraska",78.2454060462,1687,13.1,86.9,12.7,4.2,77.5,23836.31397,2.4,2.4,NA,20.5,0.135,0.118,0.323,0.113,NA,NA,0.147,0.033,107.93,NA,NA,NA,687.07,"Trump"
"740","Essex County, New Jersey",20.6995810652,299808,18,82,31.6,12.3,79.55,33531.451745,3.2,3.4,0.11,35.6,0.458,0.148,0.259,0.097,670.3,1524.5,0.19,0.108,675.44,16.58,47.7,7.5,NA,"Clinton"
"741","Luna County, New Mexico",47.6764907471,7295,30.5,69.5,13.5,5.9,73.5,15910.391745,3.4,4,0.09,99.5,0.474,0.188,0.261,0.092,779.2,74.9,0.28,0.172,632.05,9.65,92.7,NA,272.034,"Clinton"
"742","Torrance County, New Mexico",58.7814190264,6286,22.8,77.2,14,4.1,73.95,20567.20476,5.6,5,0.09,46.8,0.33,0.33,0.259,0.089,373.2,244.7,0.263,0.082,138.24,NA,131.2,NA,NA,"Trump"
"743","Delaware County, New York",61.9417257284,17778,13,87,19.1,8.1,74.3,24614.294605,2.8,2.4,0.07,20.4,0.343,0.16,0.258,0.099,107.2,131.9,0.127,0.089,147.84,NA,58,NA,NA,"Trump"
"744","Jefferson County, New York",58.2173189738,34263,12.2,87.8,20.2,8.5,65.7,25844.014285,3.9,3.6,0.07,44.7,0.322,0.26,0.29,0.087,477.5,358.2,0.11,0.101,176.22,2.76,46.6,6.4,1005.586,"Trump"
"745","Madison County, New York",54.3990946262,27392,11.5,88.5,23.7,9.9,80.05,25902.496825,3.2,3.7,0.07,17.2,0.312,0.224,0.273,0.082,178.6,66.2,0.098,0.087,74.63,NA,48.8,4.3,1176.782,"Trump"
"746","Noble County, Ohio",75.5914893617,5875,19.7,80.3,9.1,3.8,60.6,19674.472065,3.6,4.1,0.07,39.1,0.248,NA,0.321,0.123,108.8,97.3,0.175,0.104,NA,NA,71.1,NA,1077.468,"Trump"
"747","Bryan County, Oklahoma",75.8548094374,13775,15.9,84.1,20.3,7.5,77.85,23668.270475,4.4,4.4,0.08,65.9,0.342,0.259,0.333,0.118,313.3,79.2,0.252,0.047,432.36,5.67,94.3,5.6,1134.11,"Trump"
"748","Cleveland County, Oklahoma",57.1401130564,109326,9.6,90.4,31.2,11.5,77.35,26139.784125,3.7,3.9,0.07,23.5,0.27,0.209,0.293,0.09,249.5,142.2,0.179,0.044,350.08,2.13,54.7,6.3,1012.063,"Trump"
"749","Greer County, Oklahoma",78.164556962,1896,22.8,77.2,13,3.5,55.5,18153.37016,4.4,NA,0.11,76.5,0.19,0.306,0.321,0.115,130.6,164.3,0.2,0.062,142.4,NA,97,NA,746.1885,"Trump"
"750","Wagoner County, Oklahoma",73.5038084875,31246,12.1,87.9,20.8,5,77.2,30191.91905,4.2,4.8,0.07,35.3,0.255,0.217,0.315,0.13,129.6,31,0.189,0.054,266.86,4.6,76.7,7.1,NA,"Trump"
"751","Columbia County, Oregon",51.7087370898,25077,11.5,88.5,16.8,5.2,78.65,31640.574605,4,4.1,0.06,28.1,0.282,0.193,0.282,0.099,267.2,69.4,0.15,0.095,92.01,3.25,69,NA,1213.231,"Trump"
"752","Franklin County, Pennsylvania",71.4600908501,69345,16.2,83.8,18.3,7,71.8,29018.60349,3.1,2.7,0.08,37.3,0.28,0.194,0.324,0.109,219.5,101.4,0.146,0.067,130.5,1.89,59.1,6.4,1042.924,"Trump"
"753","Fairfield County, South Carolina",35.7625311056,11252,21.5,78.5,15.9,5.2,77.7,26379.15651,3.2,3.8,0.12,51.5,0.575,0.156,0.397,0.164,496.4,384.2,0.181,0.12,797.25,10.67,71.5,12.3,1128.268,"Clinton"
"754","Minnehaha County, South Dakota",53.7201487293,78263,9.1,90.9,28.9,8.5,72.75,28270.46857,2.6,2.7,0.07,36.3,0.333,0.179,0.291,0.08,454.1,NA,0.126,0.042,251.97,2.45,57.1,6.1,695.367333333,"Trump"
"755","Franklin County, Tennessee",70.4394059769,16363,20.3,79.7,16.5,6.8,74.3,23503.574285,4.5,3.8,0.09,37.1,0.281,0.239,0.315,0.112,293.3,48.6,0.157,0.078,323.45,NA,95,NA,1402.715,"Trump"
"756","Houston County, Tennessee",68.87835703,3165,20.4,79.6,7.5,2.4,76.7,22858.950795,NA,NA,0.06,72.3,0.303,NA,0.324,0.126,204,85.2,0.168,0.096,366.49,NA,111.1,NA,1356.614,"Trump"
"757","Unicoi County, Tennessee",79.0678202623,7166,25.3,74.7,12.2,4,78.5,26482.954605,5,4.6,0.08,44.4,0.247,0.234,0.314,0.121,213.3,56.2,0.175,0.092,170.43,NA,85.4,NA,1139.19,"Trump"
"758","Atascosa County, Texas",63.197353914,13605,26.2,73.8,11,3.7,74.3,23338.467935,NA,NA,0.09,69.7,0.352,0.383,0.308,0.102,335.7,99.4,0.266,0.066,189.97,6.56,60,7.6,725.043,"Trump"
"759","Chambers County, Texas",79.6950963328,16661,15.2,84.8,16.2,4.5,77.7,36524.14984,NA,NA,0.07,39.2,0.194,NA,0.302,0.092,53.4,55.3,0.193,0.077,261.18,6.83,81,NA,1450.594,"Trump"
"760","Karnes County, Texas",70.7048984468,4185,34.4,65.6,8.4,2.5,38.95,21117.85492,NA,NA,0.1,79.5,0.36,NA,0.285,0.096,240.9,146,0.218,0.068,206.74,NA,65.9,NA,784.352,"Trump"
"761","Motley County, Texas",92.0967741935,620,15.3,84.7,18.5,8.2,61.9,21564.555555,NA,NA,NA,67.4,0.101,NA,0.275,0.125,NA,NA,0.294,0.054,135.57,NA,NA,NA,598.254666667,"Trump"
"762","Parmer County, Texas",67.8140525195,2818,35,65,15.7,2,74.55,24744.43492,NA,NA,0.08,56.2,0.259,NA,0.318,0.09,232.3,98.6,0.314,0.048,224.02,NA,55.5,NA,511.556,"Trump"
"763","Rockwall County, Texas",71.8358673379,39529,8.7,91.3,35.6,10.8,82.5,40106.34095,2.9,NA,0.08,22.4,0.195,NA,0.277,0.086,174.7,75.1,0.183,0.062,145.14,2.28,37.2,5,1004.697,"Trump"
"764","Winkler County, Texas",74.9065670048,1873,37.1,62.9,9.8,2.6,71.25,22458.978415,NA,NA,0.1,63.4,0.321,NA,0.318,0.1,236.8,NA,0.272,0.047,218.94,NA,80.7,NA,352.552,"Trump"
"765","Cache County, Utah",46.3864656206,35879,7.6,92.4,35.1,12.2,76.55,18549.43524,3.1,2.5,0.06,21.5,0.147,0.046,0.235,0.06,185.7,40.8,0.158,0.044,62.85,NA,39.7,3.7,456.579111111,"Clinton"
"766","Alleghany County, Virginia",66.6986038872,7306,18.2,81.8,14.9,5.2,78.35,28712.181905,2.8,4.1,0.09,47,0.258,0.246,0.26,0.103,111.3,81.2,0.141,0.074,118.73,NA,80.4,NA,973.201,"Trump"
"767","Henry County, Virginia",63.2860293812,24029,27.7,72.3,10.9,3.8,70.8,22395.11905,5.2,4.8,0.1,55.2,0.373,0.257,0.303,0.131,379.6,107.2,0.199,0.099,285.04,9.84,103.1,11.3,NA,"Trump"
"768","Scott County, Virginia",81.9691695674,10055,26.4,73.6,10.3,3.9,70.65,24527.95492,4.7,4.1,0.09,50.7,0.22,0.278,0.297,0.106,142.7,45.7,0.163,0.084,135.23,NA,96.4,NA,NA,"Trump"
